Label,NarratorID_Mapped,NarratorNameAr,NarratorNameAr-Mapped,NarratorNameEn-Mapped,Gender,NarratorGeneration
Abu Bakr As-Siddique (0),2,عبد الله بن عثمان أبو بكر الصديق,( أبو بكر الصديق ( رضي الله عنه,Abu Bakr As-Siddique (0),Male,Comp.(RA)
Umar ibn al-Khattab (0),3,عمر بن الخطاب أمير المؤمنين,عمر بن الخطاب بن نفيل,Umar ibn al-Khattab (0),Male,Comp.(RA)
Uthman ibn Affaan (0),4,عثمان بن عفان أمير المؤمنين,عثمان بن عفان,Uthman ibn Affaan (0),Male,Comp.(RA)
Ali ibn Abi Talib (0),5,على بن أبى طالب أمير المؤمنين,علي بن أبي طالب بن عبد المطلب,Ali ibn Abi Talib (0),Male,Comp.(RA)
Talha ibn Ubaidullah (0),6,طلحة بن عبيد الله بن عثمان التيمى,طلحة بن عبيد الله,Talha ibn Ubaidullah (0),Male,Comp.(RA)
Zubayr ibn al-Awwam,7,الزبير بن العوام بن خويلد الأسدى,الزبير بن العوام بن خويلد,Zubayr ibn al-Awwam,Male,Comp.(RA)
Abdur Rahman Ibn Awf (0),8,عبد الرحمن بن عوف بن عبد عوف الزهرى,عبد الرحمن بن عوف,Abdur Rahman Ibn Awf (0),Male,Comp.(RA)
Sad ibn Abi Waqqas (0),9,سعد بن أبى وقاص بن وهيب الزهرى,سعد بن أبي وقاص,Sad ibn Abi Waqqas (0),Male,Comp.(RA)
Abu Ubaidah ibn al-Jarrah (0),10,عامر بن عبد الله أبو عبيدة بن الجراح,أبو عبيدة بن الجراح,Abu Ubaidah ibn al-Jarrah (0),Male,Comp.(RA)
Said bin Zayd (0),11,سعيد بن زيد بن عمرو بن نفيل العدوى,سعيد بن زيد,Said bin Zayd (0),Male,Comp.(RA)
Abu Hurairah (0),13,أبو هريرة الدوسى,أبو هريرة - عبد الرحمن بن صخر الدوسي ,Abu Hurairah (0),Male,Comp.(RA)
Salman Farsi (0),14,سلمان الخير أبو عبد الله الفارسى,سلمان أبو عبد الله الفارسي,Salman Farsi (0),Male,Comp.(RA)
Zayd ibn Harithah (0),15,زيد بن حارثة بن شراحيل الكلبى,زيد بن حارثة,Zayd ibn Harithah (0),Male,Comp.(RA)
ibn Masud (0),16,عبد الله بن مسعود بن غافل الهذلى,عبد الله بن مسعود,ibn Masud (0),Male,Comp.(RA)
ibn Abbas (0),17,عبد الله بن عباس بن عبد المطلب الهاشمى,عبد الله بن العباس بن عبد المطلب  الحبر,ibn Abbas (0),Male,Comp.(RA)
ibn Umar (0),18,عبد الله بن عمر بن الخطاب العدوى,عبد الله بن عمر بن الخطاب,ibn Umar (0),Male,Comp.(RA)
