sequence_id,sanad_chain,chain_length
1,المغيرة بن شعبة بن مسعود الثقفى -> ميمون بن أبى شبيب أبو نصر الربعى الكوفى -> حبيب بن أبى ثابت بن دينار الأسدى -> سفيان بن سعيد بن مسروق الثورى -> وكيع بن الجراح بن مليح الرؤاسى,5
2,المغيرة بن شعبة بن مسعود الثقفى -> ميمون بن أبى شبيب أبو نصر الربعى الكوفى -> حبيب بن أبى ثابت بن دينار الأسدى -> شعبة بن الحجاج العتكى -> وكيع بن الجراح بن مليح الرؤاسى,5
3,سمرة بن جندب بن هلال الفزارى -> عبد الرحمن بن أبى ليلى الأنصارى المدنى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> شعبة بن الحجاج العتكى -> وكيع بن الجراح بن مليح الرؤاسى,5
4,على بن أبى طالب أمير المؤمنين -> ربعى بن حراش أبو مريم العبسى الكوفى -> منصور بن المعتمر أبو عتاب السلمى -> شعبة بن الحجاج العتكى -> محمد بن جعفر الهذلى البصرى غندر,5
5,على بن أبى طالب أمير المؤمنين -> ربعى بن حراش أبو مريم العبسى الكوفى -> منصور بن المعتمر أبو عتاب السلمى -> شعبة بن الحجاج العتكى -> محمد بن جعفر الهذلى البصرى غندر,5
6,على بن أبى طالب أمير المؤمنين -> ربعى بن حراش أبو مريم العبسى الكوفى -> منصور بن المعتمر أبو عتاب السلمى -> شعبة بن الحجاج العتكى -> محمد بن جعفر الهذلى البصرى غندر,5
7,أنس بن مالك بن النضر الأنصارى -> عبد العزيز بن صهيب البنانى البصرى -> إسماعيل بن إبراهيم بن مقسم ابن علية,3
8,أبو هريرة الدوسى -> ذكوان أبو صالح السمان الزيات -> عثمان بن عاصم بن حصين أبو حصين الأسدى -> وضاح بن عبد الله أبو عوانة اليشكرى,4
9,المغيرة بن شعبة بن مسعود الثقفى -> على بن ربيعة بن نضلة أبو المغيرة الوالبى -> سعيد بن عبيد أبو الهذيل الطائى الكوفى -> عبد الله بن نمير أبو هشام الهمدانى,4
10,المغيرة بن شعبة بن مسعود الثقفى -> على بن ربيعة بن نضلة أبو المغيرة الوالبى -> محمد بن قيس الأسدى الوالبى -> على بن مسهر القرشى الكوفى,4
11,حفص بن عاصم بن عمر بن الخطاب العمرى -> خبيب بن عبد الرحمن بن خبيب الأنصارى -> شعبة بن الحجاج العتكى -> معاذ بن معاذ بن نصر أبو المثنى العنبرى,4
12,حفص بن عاصم بن عمر بن الخطاب العمرى -> خبيب بن عبد الرحمن بن خبيب الأنصارى -> شعبة بن الحجاج العتكى -> عبد الرحمن بن مهدى بن حسان العنبرى,4
13,أبو هريرة الدوسى -> حفص بن عاصم بن عمر بن الخطاب العمرى -> خبيب بن عبد الرحمن بن خبيب الأنصارى -> شعبة بن الحجاج العتكى -> على بن حفص المدائنى,5
14,عمر بن الخطاب أمير المؤمنين -> عبد الرحمن بن مل أبو عثمان النهدى -> سليمان بن طرخان أبو المعتمر التيمى -> هشيم بن بشير أبو معاوية السلمى,4
15,مالك بن أنس بن مالك بن أبى عامر الأصبحى -> عبد الله بن وهب بن مسلم المصرى,2
16,عبد الله بن مسعود بن غافل الهذلى -> عوف بن مالك بن نضلة أبو الأحوص الجشمى -> عمرو بن عبد الله أبو إسحاق السبيعى -> سفيان بن سعيد بن مسروق الثورى -> عبد الرحمن بن مهدى بن حسان العنبرى,5
18,إياس بن معاوية بن قرة بن إياس المزنى -> سفيان بن حسين بن حسن أبو محمد الواسطى -> عمر بن على بن عطاء بن مقدم البصرى,3
